"lambda","procedure","fwer"
"0.1","ADDIS-spending","0.0172"
"0.1","AOB","0.0161"
"0.1","OB","0.0143"
"0.1","rhoAOB","0.0497"
"0.1","rhoOB","0.025"
"0.2","ADDIS-spending","0.0183"
"0.2","AOB","0.0151"
"0.2","OB","0.0122"
"0.2","rhoAOB","0.0569"
"0.2","rhoOB","0.0251"
"0.3","ADDIS-spending","0.0168"
"0.3","AOB","0.015"
"0.3","OB","0.0137"
"0.3","rhoAOB","0.0513"
"0.3","rhoOB","0.0263"
"0.4","ADDIS-spending","0.0197"
"0.4","AOB","0.0147"
"0.4","OB","0.0133"
"0.4","rhoAOB","0.0446"
"0.4","rhoOB","0.0237"
"0.5","ADDIS-spending","0.0183"
"0.5","AOB","0.0072"
"0.5","OB","0.014"
"0.5","rhoAOB","0.0396"
"0.5","rhoOB","0.0251"
"0.6","ADDIS-spending","0.0185"
"0.6","AOB","0.0092"
"0.6","OB","0.0149"
"0.6","rhoAOB","0.0324"
"0.6","rhoOB","0.0261"
"0.7","ADDIS-spending","0.0172"
"0.7","AOB","0.0054"
"0.7","OB","0.0129"
"0.7","rhoAOB","0.0216"
"0.7","rhoOB","0.0247"
"0.8","ADDIS-spending","0.0201"
"0.8","AOB","0.0039"
"0.8","OB","0.0153"
"0.8","rhoAOB","0.0139"
"0.8","rhoOB","0.0296"
"0.9","ADDIS-spending","0.0199"
"0.9","AOB","7e-04"
"0.9","OB","0.0116"
"0.9","rhoAOB","0.0033"
"0.9","rhoOB","0.0228"
