"signal_strength_p3","procedure","fwer"
"0.1","ADDIS-spending","0.0077"
"0.1","AOB","0.0045"
"0.1","OB","0.0088"
"0.1","rhoAOB","0.0168"
"0.1","rhoOB","0.031"
"0.2","ADDIS-spending","0.0083"
"0.2","AOB","0.0054"
"0.2","OB","0.0097"
"0.2","rhoAOB","0.018"
"0.2","rhoOB","0.0205"
"0.3","ADDIS-spending","0.0114"
"0.3","AOB","0.0063"
"0.3","OB","0.0089"
"0.3","rhoAOB","0.0254"
"0.3","rhoOB","0.0144"
"0.4","ADDIS-spending","0.0152"
"0.4","AOB","0.0078"
"0.4","OB","0.0094"
"0.4","rhoAOB","0.0434"
"0.4","rhoOB","0.0136"
"0.5","ADDIS-spending","0.0167"
"0.5","AOB","0.0079"
"0.5","OB","0.0092"
"0.5","rhoAOB","0.0482"
"0.5","rhoOB","0.0119"
"0.6","ADDIS-spending","0.0203"
"0.6","AOB","0.0083"
"0.6","OB","0.0091"
"0.6","rhoAOB","0.0493"
"0.6","rhoOB","0.0131"
"0.7","ADDIS-spending","0.023"
"0.7","AOB","0.0091"
"0.7","OB","0.0095"
"0.7","rhoAOB","0.0551"
"0.7","rhoOB","0.0143"
"0.8","ADDIS-spending","0.0203"
"0.8","AOB","0.0086"
"0.8","OB","0.0097"
"0.8","rhoAOB","0.0477"
"0.8","rhoOB","0.0143"
"0.9","ADDIS-spending","0.0222"
"0.9","AOB","0.0079"
"0.9","OB","0.0083"
"0.9","rhoAOB","0.0559"
"0.9","rhoOB","0.0135"
"1","ADDIS-spending","0.0217"
"1","AOB","0.0088"
"1","OB","0.0105"
"1","rhoAOB","0.0544"
"1","rhoOB","0.0155"
