"N","procedure","mfdr"
"25","ADDIS","0.0418958286759654"
"25","ALORD","0.0148601696773596"
"25","LORD","0.0192106149422174"
"25","rhoALORD","0.134640123686276"
"25","rhoLORD","0.0819077634439612"
"25","SAFFRON","0.0148601696773596"
"50","ADDIS","0.0678129687901675"
"50","ALORD","0.0339555846285295"
"50","LORD","0.0379555240102788"
"50","rhoALORD","0.14005792798592"
"50","rhoLORD","0.0976922952979541"
"50","SAFFRON","0.0339555846285295"
"75","ADDIS","0.0609257388229351"
"75","ALORD","0.0504412971756082"
"75","LORD","0.0452037017998848"
"75","rhoALORD","0.149323549252958"
"75","rhoLORD","0.0993834369173774"
"75","SAFFRON","0.0504242666943906"
"100","ADDIS","0.0661225074954342"
"100","ALORD","0.0585411829208408"
"100","LORD","0.0514396276589003"
"100","rhoALORD","0.153707952688573"
"100","rhoLORD","0.102455922750404"
"100","SAFFRON","0.0585275680161969"
"125","ADDIS","0.0839155115737319"
"125","ALORD","0.0560135114293826"
"125","LORD","0.0540258373743"
"125","rhoALORD","0.149514094078463"
"125","rhoLORD","0.103640083950452"
"125","SAFFRON","0.0559956841171609"
"150","ADDIS","0.07906040367351"
"150","ALORD","0.0663852893744075"
"150","LORD","0.0575151037232288"
"150","rhoALORD","0.152959924465908"
"150","rhoLORD","0.106880214730958"
"150","SAFFRON","0.0663678559135461"
