"N","procedure","mean","sd"
"25","ADDIS","0.54542","0.163902230324122"
"25","ALORD","0.269046","0.137218639410695"
"25","LORD","0.277086","0.145894350694607"
"25","rhoALORD","0.782105333333333","0.0452928672866862"
"25","rhoLORD","0.768277333333333","0.0449446941609351"
"25","SAFFRON","0.269046","0.137218639410695"
"50","ADDIS","0.954892","0.0194901596358846"
"50","ALORD","0.893963333333333","0.0291046202346468"
"50","LORD","0.900008","0.0283357686173124"
"50","rhoALORD","0.971656","0.0145130919550219"
"50","rhoLORD","0.970665333333333","0.0145735191079699"
"50","SAFFRON","0.893963333333333","0.0291046202346468"
"75","ADDIS","0.991412","0.00765033752993864"
"75","ALORD","0.986431333333333","0.009679450665018"
"75","LORD","0.984458","0.0103476915903936"
"75","rhoALORD","0.996196","0.00499631778715628"
"75","rhoLORD","0.996395333333333","0.00488442963675379"
"75","SAFFRON","0.986430666666667","0.00968012322182264"
"100","ADDIS","0.998819333333333","0.00280755587919089"
"100","ALORD","0.998230666666667","0.00344473536447784"
"100","LORD","0.997827333333333","0.00380363418134826"
"100","rhoALORD","0.999564","0.00169874898980651"
"100","rhoLORD","0.999584666666667","0.001654957166109"
"100","SAFFRON","0.998230666666667","0.00344473536447784"
"125","ADDIS","0.999901333333333","0.000821447996536873"
"125","ALORD","0.999732666666667","0.00133493236782427"
"125","LORD","0.99972","0.00136691386415454"
"125","rhoALORD","0.999952","0.000563673462899649"
"125","rhoLORD","0.99996","0.000523433810381928"
"125","SAFFRON","0.999732666666667","0.00133493236782427"
"150","ADDIS","0.999982","0.000345959490109581"
"150","ALORD","0.999976666666667","0.000393734191774718"
"150","LORD","0.999973333333333","0.000420813943571478"
"150","rhoALORD","0.999990666666667","0.000249281618342862"
"150","rhoLORD","0.999994666666667","0.000188495793527414"
"150","SAFFRON","0.999976666666667","0.000393734191774718"
