"lambda","procedure","mfdr"
"0.1","ADDIS","0.0421959239343403"
"0.1","ALORD","0.0250068134449366"
"0.1","LORD","0.019604398449401"
"0.1","rhoALORD","0.13384512371504"
"0.1","rhoLORD","0.0822993746567051"
"0.1","SAFFRON","0.0173627706531824"
"0.2","ADDIS","0.0425624025052762"
"0.2","ALORD","0.02284938182835"
"0.2","LORD","0.0196890300322222"
"0.2","rhoALORD","0.140643396146934"
"0.2","rhoLORD","0.0825738076009596"
"0.2","SAFFRON","0.0216010317867214"
"0.3","ADDIS","0.0422171762510781"
"0.3","ALORD","0.021635151545191"
"0.3","LORD","0.0199599519423308"
"0.3","rhoALORD","0.138922368925656"
"0.3","rhoLORD","0.0823152548931864"
"0.3","SAFFRON","0.0215032884952242"
"0.4","ADDIS","0.0423098219062549"
"0.4","ALORD","0.0197937451057598"
"0.4","LORD","0.0198259804546962"
"0.4","rhoALORD","0.137058939785431"
"0.4","rhoLORD","0.0823931667508448"
"0.4","SAFFRON","0.0197851593607872"
"0.5","ADDIS","0.0421122649004132"
"0.5","ALORD","0.014631149967437"
"0.5","LORD","0.0194570178730034"
"0.5","rhoALORD","0.134546071510243"
"0.5","rhoLORD","0.0822148506459158"
"0.5","SAFFRON","0.014631149967437"
"0.6","ADDIS","0.0422594913596425"
"0.6","ALORD","0.0107508241885805"
"0.6","LORD","0.0197164270581479"
"0.6","rhoALORD","0.112045317849997"
"0.6","rhoLORD","0.0819102703393622"
"0.6","SAFFRON","0.0107508241885805"
"0.7","ADDIS","0.0417450076371423"
"0.7","ALORD","0.00865684593293527"
"0.7","LORD","0.0196487187462246"
"0.7","rhoALORD","0.103440319493889"
"0.7","rhoLORD","0.08193934748393"
"0.7","SAFFRON","0.00865684593293527"
"0.8","ADDIS","0.0416092189103321"
"0.8","ALORD","0.00417517697336582"
"0.8","LORD","0.0190817921482276"
"0.8","rhoALORD","0.072128802152076"
"0.8","rhoLORD","0.081831610281861"
"0.8","SAFFRON","0.00417517697336582"
"0.9","ADDIS","0.042154813676239"
"0.9","ALORD","0.00118362124120282"
"0.9","LORD","0.019082465522094"
"0.9","rhoALORD","0.0340864402844702"
"0.9","rhoLORD","0.0822888058147234"
"0.9","SAFFRON","0.00118362124120282"
