"lambda","procedure","mean","sd"
"0.1","ADDIS","0.545582666666667","0.162249683088099"
"0.1","ALORD","0.331393333333333","0.137578762380872"
"0.1","LORD","0.282568666666667","0.140030149595846"
"0.1","rhoALORD","0.802875333333333","0.0426273614617949"
"0.1","rhoLORD","0.769662666666667","0.0435014674029632"
"0.1","SAFFRON","0.326092666666667","0.135172547825986"
"0.2","ADDIS","0.542246666666667","0.166457224938141"
"0.2","ALORD","0.325990666666667","0.136112176403676"
"0.2","LORD","0.280854","0.141860020205678"
"0.2","rhoALORD","0.802409333333333","0.0437555318507917"
"0.2","rhoLORD","0.76869","0.0442730908941808"
"0.2","SAFFRON","0.325532","0.135897475283314"
"0.3","ADDIS","0.54382","0.161793966361473"
"0.3","ALORD","0.315611333333333","0.134464703805254"
"0.3","LORD","0.285196","0.140136936514443"
"0.3","rhoALORD","0.796340666666667","0.0438741330545512"
"0.3","rhoLORD","0.768334","0.0443521143114201"
"0.3","SAFFRON","0.315588666666667","0.134454805099522"
"0.4","ADDIS","0.546278","0.160650091832047"
"0.4","ALORD","0.295096","0.135223475076298"
"0.4","LORD","0.281311333333333","0.141527049067211"
"0.4","rhoALORD","0.788850666666667","0.0447778663671943"
"0.4","rhoLORD","0.767898666666667","0.0446887221140683"
"0.4","SAFFRON","0.295094666666667","0.135222572069408"
"0.5","ADDIS","0.543074666666667","0.165594872880819"
"0.5","ALORD","0.265773333333333","0.138260889491251"
"0.5","LORD","0.274680666666667","0.147172157661092"
"0.5","rhoALORD","0.782145333333333","0.0451112321870957"
"0.5","rhoLORD","0.768046666666667","0.0447727403902244"
"0.5","SAFFRON","0.265773333333333","0.138260889491251"
"0.6","ADDIS","0.54345","0.164700229726988"
"0.6","ALORD","0.212172","0.135079089371271"
"0.6","LORD","0.270087333333333","0.15112791014998"
"0.6","rhoALORD","0.752929333333333","0.0474035083550949"
"0.6","rhoLORD","0.766152","0.0449608167575318"
"0.6","SAFFRON","0.212172","0.135079089371271"
"0.7","ADDIS","0.542976","0.165209838178121"
"0.7","ALORD","0.158452","0.12857645886968"
"0.7","LORD","0.253181333333333","0.159188120311886"
"0.7","rhoALORD","0.730506666666667","0.0504616700984621"
"0.7","rhoLORD","0.763338","0.0467147892932145"
"0.7","SAFFRON","0.158452","0.12857645886968"
"0.8","ADDIS","0.543266666666667","0.164215248305048"
"0.8","ALORD","0.07827","0.0939762690406635"
"0.8","LORD","0.227636666666667","0.167885244805254"
"0.8","rhoALORD","0.675356","0.0558595735739421"
"0.8","rhoLORD","0.761239333333333","0.0478220250599063"
"0.8","SAFFRON","0.07827","0.0939762690406635"
"0.9","ADDIS","0.544744666666667","0.163425372132913"
"0.9","ALORD","0.016154","0.0367841335379386"
"0.9","LORD","0.183209333333333","0.175474788906931"
"0.9","rhoALORD","0.543639333333333","0.0727009660362351"
"0.9","rhoLORD","0.754947333333333","0.057519052527801"
"0.9","SAFFRON","0.016154","0.0367841335379386"
