"signal_strength_p3","procedure","mfdr"
"0.1","ADDIS","0.000999900009999"
"0.1","ALORD","0.0011"
"0.1","LORD","0.00269919024292712"
"0.1","rhoALORD","0.0305335968379447"
"0.1","rhoLORD","0.0361990950226244"
"0.1","SAFFRON","0.0011"
"0.2","ADDIS","0.00233895331839002"
"0.2","ALORD","0.00296062370472713"
"0.2","LORD","0.00421155729676788"
"0.2","rhoALORD","0.0432753708615778"
"0.2","rhoLORD","0.0407048610112973"
"0.2","SAFFRON","0.00296062370472713"
"0.3","ADDIS","0.0179170553103813"
"0.3","ALORD","0.010134852165173"
"0.3","LORD","0.0108834346618629"
"0.3","rhoALORD","0.086923878468002"
"0.3","rhoLORD","0.0482813203772457"
"0.3","SAFFRON","0.010134852165173"
"0.4","ADDIS","0.0281322420890627"
"0.4","ALORD","0.0205299052868431"
"0.4","LORD","0.0175786898790684"
"0.4","rhoALORD","0.120000570903108"
"0.4","rhoLORD","0.0477321315720159"
"0.4","SAFFRON","0.020512166813147"
"0.5","ADDIS","0.0300171519325978"
"0.5","ALORD","0.0244169601019222"
"0.5","LORD","0.0192970554512932"
"0.5","rhoALORD","0.132499624132821"
"0.5","rhoLORD","0.0477812871168387"
"0.5","SAFFRON","0.0243638165229249"
"0.6","ADDIS","0.029231461454666"
"0.6","ALORD","0.0252817190865954"
"0.6","LORD","0.0194408107108228"
"0.6","rhoALORD","0.135153713201509"
"0.6","rhoLORD","0.0485513659239749"
"0.6","SAFFRON","0.0252206179900284"
"0.7","ADDIS","0.0293014920079061"
"0.7","ALORD","0.0257799189604233"
"0.7","LORD","0.0196568548953477"
"0.7","rhoALORD","0.135752049434058"
"0.7","rhoLORD","0.0501694312174642"
"0.7","SAFFRON","0.025717848292252"
"0.8","ADDIS","0.0289793598873236"
"0.8","ALORD","0.0256192061796073"
"0.8","LORD","0.0194041906806374"
"0.8","rhoALORD","0.13571056672892"
"0.8","rhoLORD","0.0502018544930386"
"0.8","SAFFRON","0.0255637485649239"
"0.9","ADDIS","0.0288324230252271"
"0.9","ALORD","0.0254559020215577"
"0.9","LORD","0.019297110062412"
"0.9","rhoALORD","0.135506577584654"
"0.9","rhoLORD","0.0500891776280043"
"0.9","SAFFRON","0.0253996743271644"
"1","ADDIS","0.0289557623318734"
"1","ALORD","0.0255724859088037"
"1","LORD","0.0194094177488464"
"1","rhoALORD","0.136060456415805"
"1","rhoLORD","0.0495973333982142"
"1","SAFFRON","0.0255056358907054"
