"signal_strength_p3","procedure","mean","sd"
"0.1","ADDIS","8.4e-06","0.000191658846159866"
"0.1","ALORD","1.48e-05","0.000242872103556313"
"0.1","LORD","2.76e-05","0.000345326171925184"
"0.1","rhoALORD","0.0002384","0.00106624534133228"
"0.1","rhoLORD","0.0002808","0.00117766296070009"
"0.1","SAFFRON","1.48e-05","0.000242872103556313"
"0.2","ADDIS","0.0003136","0.00158224694360237"
"0.2","ALORD","0.0003668","0.00136295397000502"
"0.2","LORD","0.0004908","0.0015862430383449"
"0.2","rhoALORD","0.013996","0.0225958545150239"
"0.2","rhoLORD","0.0116368","0.0203405176784157"
"0.2","SAFFRON","0.0003668","0.00136295397000502"
"0.3","ADDIS","0.0542012","0.0878620480782758"
"0.3","ALORD","0.0219136","0.0402358351135245"
"0.3","LORD","0.0139612","0.0276003672545722"
"0.3","rhoALORD","0.50543","0.0654328422558929"
"0.3","rhoLORD","0.442002","0.0846755702149039"
"0.3","SAFFRON","0.0219136","0.0402358351135245"
"0.4","ADDIS","0.6771684","0.0903957564309192"
"0.4","ALORD","0.5839888","0.0806800173591956"
"0.4","LORD","0.5312112","0.103791363124616"
"0.4","rhoALORD","0.8631932","0.0290475721860708"
"0.4","rhoLORD","0.8185108","0.030371159413042"
"0.4","SAFFRON","0.5839696","0.0806739629909828"
"0.5","ADDIS","0.9166012","0.019724478803416"
"0.5","ALORD","0.8845908","0.0245092110338654"
"0.5","LORD","0.871424","0.0262651025042918"
"0.5","rhoALORD","0.9693588","0.0120202542074251"
"0.5","rhoLORD","0.9559556","0.0139673883540819"
"0.5","SAFFRON","0.8845824","0.0245060495569255"
"0.6","ADDIS","0.9838312","0.0082276045060267"
"0.6","ALORD","0.9760708","0.010212963224343"
"0.6","LORD","0.9732552","0.0108407114647751"
"0.6","rhoALORD","0.9949548","0.00456727960215887"
"0.6","rhoLORD","0.9929748","0.00533889645353178"
"0.6","SAFFRON","0.9760696","0.010213833172654"
"0.7","ADDIS","0.9983308","0.00259168729678263"
"0.7","ALORD","0.997018","0.00349721304039445"
"0.7","LORD","0.9966588","0.0036870777065586"
"0.7","rhoALORD","0.9995152","0.00138865467132028"
"0.7","rhoLORD","0.9994368","0.0014912505298622"
"0.7","SAFFRON","0.997018","0.00349721304039445"
"0.8","ADDIS","0.9999388","0.000490997625113184"
"0.8","ALORD","0.9998476","0.000780278875474886"
"0.8","LORD","0.99983","0.000824601720104731"
"0.8","rhoALORD","0.9999808","0.000282204400979845"
"0.8","rhoLORD","0.9999832","0.00025869760811659"
"0.8","SAFFRON","0.9998476","0.000780278875474886"
"0.9","ADDIS","0.9999996","4e-05"
"0.9","ALORD","0.9999988","6.92751030601212e-05"
"0.9","LORD","0.9999992","5.65657137141997e-05"
"0.9","rhoALORD","1","0"
"0.9","rhoLORD","1","0"
"0.9","SAFFRON","0.9999988","6.92751030601212e-05"
"1","ADDIS","1","0"
"1","ALORD","1","0"
"1","LORD","1","0"
"1","rhoALORD","1","0"
"1","rhoLORD","1","0"
"1","SAFFRON","1","0"
