"signal_proportion_piA","procedure","mfdr"
"0.1","ADDIS","0.0388749900042268"
"0.1","ALORD","0.00761637520669439"
"0.1","LORD","0.0150580103678104"
"0.1","rhoALORD","0.139626035557369"
"0.1","rhoLORD","0.13151959997635"
"0.1","SAFFRON","0.00761637520669439"
"0.2","ADDIS","0.0447839435013166"
"0.2","ALORD","0.0116502887245467"
"0.2","LORD","0.0184941368504531"
"0.2","rhoALORD","0.138493725860606"
"0.2","rhoLORD","0.10503124529204"
"0.2","SAFFRON","0.0116502887245467"
"0.3","ADDIS","0.0418683593988422"
"0.3","ALORD","0.0150189666833299"
"0.3","LORD","0.0195039911053356"
"0.3","rhoALORD","0.134676061138328"
"0.3","rhoLORD","0.0823298691015859"
"0.3","SAFFRON","0.0150189666833299"
"0.4","ADDIS","0.0357375211518843"
"0.4","ALORD","0.0180892534340068"
"0.4","LORD","0.0190929026272509"
"0.4","rhoALORD","0.128417228306655"
"0.4","rhoLORD","0.0633293173774361"
"0.4","SAFFRON","0.0180881759449619"
"0.5","ADDIS","0.0284314323075101"
"0.5","ALORD","0.0208250139095173"
"0.5","LORD","0.0177236302715365"
"0.5","rhoALORD","0.119912057150617"
"0.5","rhoLORD","0.0479505810979953"
"0.5","SAFFRON","0.0208031303694158"
"0.6","ADDIS","0.0211341335171957"
"0.6","ALORD","0.023741227900192"
"0.6","LORD","0.0150396796551975"
"0.6","rhoALORD","0.110654327315502"
"0.6","rhoLORD","0.0354679104900038"
"0.6","SAFFRON","0.0236070116173645"
"0.7","ADDIS","0.0146858535081919"
"0.7","ALORD","0.0270918637154768"
"0.7","LORD","0.0115364141499386"
"0.7","rhoALORD","0.0996462786338717"
"0.7","rhoLORD","0.0247181294801157"
"0.7","SAFFRON","0.0262390041029638"
"0.8","ADDIS","0.00902249634355738"
"0.8","ALORD","0.0307467126441008"
"0.8","LORD","0.00758112904486559"
"0.8","rhoALORD","0.0856491961298271"
"0.8","rhoLORD","0.0153776482125131"
"0.8","SAFFRON","0.0265960484922219"
"0.9","ADDIS","0.00418968710359788"
"0.9","ALORD","0.0314623282977046"
"0.9","LORD","0.00375832834835702"
"0.9","rhoALORD","0.0631697272923081"
"0.9","rhoLORD","0.00718240429360334"
"0.9","SAFFRON","0.0186503691201584"
"1","ADDIS","0"
"1","ALORD","0"
"1","LORD","0"
"1","rhoALORD","0"
"1","rhoLORD","0"
"1","SAFFRON","0"
