"signal_position","procedure","mean","sd"
"begin","ADDIS","0.717385333333333","0.0694790905985609"
"begin","ALORD","0.955976666666667","0.0282218826192898"
"begin","LORD","0.762611333333333","0.0589585513010759"
"begin","rhoALORD","0.965040666666667","0.0227958885261754"
"begin","rhoLORD","0.859559333333333","0.0363794255533769"
"begin","SAFFRON","0.921395333333333","0.0293538051390815"
"begin_middle","ADDIS","0.70972","0.0708123399076232"
"begin_middle","ALORD","0.884513333333333","0.0613000365461487"
"begin_middle","LORD","0.715464666666667","0.076452757588322"
"begin_middle","rhoALORD","0.960916666666667","0.023990635894378"
"begin_middle","rhoLORD","0.85874","0.0369331817895889"
"begin_middle","SAFFRON","0.860435333333333","0.0595555450731631"
"begin_end","ADDIS","0.685922666666667","0.0806265387456093"
"begin_end","ALORD","0.851318","0.0915157688333004"
"begin_end","LORD","0.683559333333333","0.0984630928027687"
"begin_end","rhoALORD","0.929034","0.0333299354803843"
"begin_end","rhoLORD","0.832588","0.0446404821252588"
"begin_end","SAFFRON","0.826856666666667","0.0895525995660155"
"middle_end","ADDIS","0.554675333333333","0.204473682050605"
"middle_end","ALORD","0.258682","0.333571366469485"
"middle_end","LORD","0.216458","0.273058299203523"
"middle_end","rhoALORD","0.93631","0.0297521087379196"
"middle_end","rhoLORD","0.836622","0.0409446928660907"
"middle_end","SAFFRON","0.252294666666667","0.324937251436443"
"end","ADDIS","0.261407333333333","0.271357969059452"
"end","ALORD","0.0814326666666667","0.213991604290666"
"end","LORD","0.129216","0.243392911472244"
"end","rhoALORD","0.938974","0.0449282670366651"
"end","rhoLORD","0.819754666666667","0.100767916554"
"end","SAFFRON","0.0789933333333333","0.207033721425501"
"no_cluster_shuffle","ADDIS","0.546072","0.161743377735713"
"no_cluster_shuffle","ALORD","0.26904","0.136566439245232"
"no_cluster_shuffle","LORD","0.277872","0.145072160543407"
"no_cluster_shuffle","rhoALORD","0.781768","0.0444773700221681"
"no_cluster_shuffle","rhoLORD","0.768038666666667","0.043798306672621"
"no_cluster_shuffle","SAFFRON","0.26904","0.136566439245232"
